total_sales,onsale_web,price,stock_quantity,stock_status
0.0,1,51.0,2,instock
3.0,1,35.2,69,instock
0.0,1,42.2,12,instock
0.0,1,33.2,1,instock
1.0,1,41.8,16,instock
0.0,1,32.2,31,instock
1.0,1,37.7,25,instock
0.0,1,47.2,12,instock
1.0,1,52.7,2,instock
1.0,1,22.4,23,instock
0.0,1,50.4,6,instock
0.0,1,35.6,38,instock
1.0,1,27.7,8,instock
0.0,1,48.5,24,instock
3.0,1,15.4,40,instock
0.0,1,46.5,0,outofstock
0.0,1,46.5,29,instock
0.0,1,46.5,12,instock
0.0,1,42.0,0,outofstock
0.0,1,21.8,24,instock
0.0,1,50.5,1,instock
1.0,1,49.9,24,instock
2.0,1,19.0,20,instock
5.0,1,8.4,83,instock
0.0,1,27.5,15,instock
0.0,1,69.0,2,instock
0.0,1,54.8,23,instock
